Element Pesudo-potnetial https://pseudopotentials.quantum-espresso.org/upf_files/
Bi	Bi.pbe-dn-kjpaw_psl.1.0.0.UPF
Po	Po.pbe-dn-kjpaw_psl.1.0.0.UPF
At	At.pbe-dn-kjpaw_psl.1.0.0.UPF
Rn	Rn.pbe-dn-kjpaw_psl.1.0.0.UPF
Fr	Fr.pbe-spdn-kjpaw_psl.1.0.0.UPF
Ra	Ra.pbe-spdn-kjpaw_psl.1.0.0.UPF
Ac	Ac.pbe-spfn-kjpaw_psl.1.0.0.UPF
Th	Th.pbe-spfn-kjpaw_psl.1.0.0.UPF
Pa	Pa.pbe-spfn-kjpaw_psl.1.0.0.UPF
U	U.pbe-spfn-kjpaw_psl.1.0.0.UPF
Np	Np.pbe-spfn-kjpaw_psl.1.0.0.UPF
Pu	Pu.pbe-spfn-kjpaw_psl.1.0.0.UPF

